blocker_id,description,affected_phase,affected_claim_tier,status,fix_instruction,evidence_file,fix_command_or_manual_step,residual_limitation_if_unresolved,downgrade_if_unresolved
B0-01,Protocol/config freeze,Phase A,T0+,RESOLVED,Create protocol_release.json and frozen YAML/config schemas before data access,results/phaseA/config_validation.json,make phaseA,Missing config or unresolved economic field blocks all data access.,T0_DESIGN_ONLY
B0-02,Vendor semantics verification,Phase B,T1+,OPEN,Print live Sharadar headers and classify fields; quarantine unknown PIT fields,results/phaseB/vendor_semantics_report.json,make phaseB,Unknown field semantics block PIT selection and cleaned-output sign-off.,T0_EXECUTABLE_SCAFFOLD
B0-03,Raw-source archive,Phase B,T1+,OPEN,"Save retrieval command, timestamp, row count, byte hash, schema hash, and vintage ID",manifests/raw_archive_manifest.json,make phaseB,Missing immutable archive blocks reproducibility claims.,T0_EXECUTABLE_SCAFFOLD
B0-04,PIT S&P 500 identity resolution,Phase C,T1+,OPEN,"Resolve residual identities touching evaluated 1998+ members, selections, clones, terminal events, or review samples",results/phaseC/membership_audit.json,make phaseC,Affected unresolved identities block candidate sets and clone null.,T0_EXECUTABLE_SCAFFOLD
B0-05,Terminal-event semantics,Phase B/F,T1+,OPEN,"Verify ACTIONS.value units, completion dates, security-master status, last tradable date, and exchange at delisting",results/phaseB/terminal_event_semantics.json,make phaseB,Unverified terminal semantics require conservative baseline and block final delisting sensitivity.,T0_EXECUTABLE_SCAFFOLD
B0-06,Holdout attestations,Phase F/K,T1+,OPEN,Record prior viewing status before opening 2006-2015 or 2024-2026,protocol/period_provenance.csv,make phaseA,Incomplete attestation blocks clean pseudo-OOS or forward-holdout language.,T0_EXECUTABLE_SCAFFOLD
B0-07,Golden-v1 fixture approval,Phase E,T1+,OPEN,Approve expected selections by executable and human-readable methods,results/phaseE/golden_report.json,make phaseE,Header-only or single-method fixture blocks C1/C2 and Phase F.,T0_EXECUTABLE_SCAFFOLD
B0-08,Numerical tail rule freeze,Phase F,T1+,OPEN,Freeze validation vetoes and deployment-risk flags before confirmation results,config/risk_limits.yaml,make phaseA,Unfrozen tail rules block deployment-facing risk claims.,T0_EXECUTABLE_SCAFFOLD
B0-09,M3/M4 module inventory,Phase H/I,T2+,OPEN,Freeze module_inventory.yaml or keep modules disabled for CORE,config/module_inventory.yaml,make phaseH,Unresolved module inventory disables modules without blocking CORE.,T1_SELF_REVIEWED_CORE_IMPLEMENTATION
B0-10,Source-verification ledger,Publication,T2+,OPEN,Verify source links and source-claim map before public claims,evidence/source_verification/source_claim_map.csv,make verify-sources,Unverified source claims block external/publication language only.,T1_SELF_REVIEWED_CORE_IMPLEMENTATION
B0-11,External spot-check review,Publication/Deployment,T2+,OPEN,"Obtain external review for golden fixture, terminal events, holdout attestations, and final narrative",evidence/external_review/,manual,"Without external review, claim remains self-reviewed.",T1_SELF_REVIEWED_CORE_IMPLEMENTATION
