ref_id,source_title,doi,url,access_date,link_status,claim_supported,publication_ready_YN,unresolved_limitation
REF-SHUMWAY-1997,"Shumway, The Delisting Bias in CRSP Data",10.1111/j.1540-6261.1997.tb03818.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1540-6261.1997.tb03818.x,2026-07-09,ACTIVE_METADATA,Delisting-bias rationale and terminal-event caution,NO,Publication claim requires text-level excerpt check
REF-JEGADEESH-TITMAN-1993,"Jegadeesh and Titman, Returns to Buying Winners and Selling Losers",,https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf,2026-07-09,ACTIVE_AUTHOR_OR_UNIVERSITY_PDF,Momentum formation/holding rationale,NO,Use DOI/publisher metadata if available before external publication
REF-CARHART-1997,"Carhart, On Persistence in Mutual Fund Performance",10.1111/j.1540-6261.1997.tb03808.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1997.tb03808.x,2026-07-09,ACTIVE_METADATA,Four-factor/momentum attribution rationale,NO,Claim-level verification required
REF-DANIEL-MOSKOWITZ-2016,"Daniel and Moskowitz, Momentum Crashes",10.1016/j.jfineco.2015.12.002,https://www.sciencedirect.com/science/article/pii/S0304405X16301490,2026-07-09,ACTIVE_METADATA,Momentum crash/tail-risk rationale,NO,Claim-level verification required
REF-KENNETH-FRENCH-DATA,Kenneth French Data Library,,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,2026-07-09,ACTIVE_OFFICIAL,Factor data source,YES,Official source page active
REF-KENNETH-FRENCH-MOM,Kenneth French monthly momentum factor detail,,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library/det_mom_factor.html,2026-07-09,ACTIVE_OFFICIAL,Momentum factor construction source,YES,Official detail page active
REF-NIST-FIPS-180-4,NIST FIPS 180-4 Secure Hash Standard,,https://csrc.nist.gov/pubs/fips/180-4/upd1/final,2026-07-09,ACTIVE_OFFICIAL,SHA-256/hash provenance source,YES,Official NIST page active
REF-DUCKDB-PARQUET,DuckDB Parquet docs,,https://duckdb.org/docs/current/data/parquet/overview.html,2026-07-09,ACTIVE_OFFICIAL,Out-of-core Parquet processing source,YES,Official documentation active
REF-APACHE-PARQUET,Apache Parquet docs,,https://parquet.apache.org/docs/,2026-07-09,ACTIVE_OFFICIAL,Parquet format documentation,YES,Official documentation active
REF-HYPOTHESIS,Hypothesis documentation,,https://hypothesis.readthedocs.io/,2026-07-09,ACTIVE_OFFICIAL,Property-based testing implementation,YES,Official documentation active
REF-NASDAQ-SEP,Nasdaq Data Link Sharadar SEP,,https://data.nasdaq.com/databases/SEP,2026-07-09,ACTIVE_VENDOR_METADATA,Sharadar equity price table source,NO,Vendor semantics still must be verified live in Phase B
REF-NASDAQ-TABLES,Nasdaq Data Link Tables API,,https://docs.data.nasdaq.com/docs/tables-1,2026-07-09,ACTIVE_VENDOR_DOC,Tables API retrieval mechanism,YES,Official docs active
